ano_modelo,name,code_marca,code_modelos
2011-1,2011 Gasolina,6,4844
2010-1,2010 Gasolina,6,4844
2009-1,2009 Gasolina,6,4844
2011-1,2011 Gasolina,6,4183
2010-1,2010 Gasolina,6,4183
2009-1,2009 Gasolina,6,4183
2008-1,2008 Gasolina,6,4183
2007-1,2007 Gasolina,6,4183
2001-1,2001 Gasolina,6,77
2000-1,2000 Gasolina,6,77
1999-1,1999 Gasolina,6,77
1998-1,1998 Gasolina,6,77
2003-1,2003 Gasolina,6,78
2002-1,2002 Gasolina,6,78
2001-1,2001 Gasolina,6,78
2000-1,2000 Gasolina,6,78
1999-1,1999 Gasolina,6,78
1998-1,1998 Gasolina,6,78
2001-1,2001 Gasolina,6,79
2000-1,2000 Gasolina,6,79
1999-1,1999 Gasolina,6,79
1998-1,1998 Gasolina,6,79
2004-1,2004 Gasolina,6,80
2003-1,2003 Gasolina,6,80
2002-1,2002 Gasolina,6,80
2001-1,2001 Gasolina,6,80
2000-1,2000 Gasolina,6,80
1999-1,1999 Gasolina,6,80
1998-1,1998 Gasolina,6,80
2001-1,2001 Gasolina,6,81
2001-1,2001 Gasolina,6,82
2001-1,2001 Gasolina,6,83
2001-1,2001 Gasolina,6,84
1997-1,1997 Gasolina,6,85
1996-1,1996 Gasolina,6,85
1995-1,1995 Gasolina,6,85
2001-1,2001 Gasolina,6,86
2000-1,2000 Gasolina,6,86
1999-1,1999 Gasolina,6,86
1998-1,1998 Gasolina,6,86
1997-1,1997 Gasolina,6,86
2001-1,2001 Gasolina,6,87
2000-1,2000 Gasolina,6,87
1999-1,1999 Gasolina,6,87
1998-1,1998 Gasolina,6,87
1997-1,1997 Gasolina,6,87
1997-1,1997 Gasolina,6,88
1996-1,1996 Gasolina,6,88
1995-1,1995 Gasolina,6,88
2001-1,2001 Gasolina,6,89
2000-1,2000 Gasolina,6,89
1999-1,1999 Gasolina,6,89
1998-1,1998 Gasolina,6,89
1997-1,1997 Gasolina,6,89
2001-1,2001 Gasolina,6,90
2001-1,2001 Gasolina,6,91
2001-1,2001 Gasolina,6,92
2000-1,2000 Gasolina,6,92
1999-1,1999 Gasolina,6,92
1998-1,1998 Gasolina,6,92
1997-1,1997 Gasolina,6,92
2001-1,2001 Gasolina,6,93
2001-1,2001 Gasolina,6,94
2006-1,2006 Gasolina,6,95
2005-1,2005 Gasolina,6,95
2004-1,2004 Gasolina,6,95
2003-1,2003 Gasolina,6,95
2002-1,2002 Gasolina,6,95
2003-1,2003 Gasolina,6,96
2006-1,2006 Gasolina,6,97
2005-1,2005 Gasolina,6,97
2004-1,2004 Gasolina,6,97
2003-1,2003 Gasolina,6,97
2002-1,2002 Gasolina,6,97
2003-1,2003 Gasolina,6,98
2004-1,2004 Gasolina,6,99
2003-1,2003 Gasolina,6,99
2008-1,2008 Gasolina,6,4286
2007-1,2007 Gasolina,6,4286
2012-1,2012 Gasolina,6,4731
2011-1,2011 Gasolina,6,4731
2010-1,2010 Gasolina,6,4731
2009-1,2009 Gasolina,6,4731
2008-1,2008 Gasolina,6,4287
2007-1,2007 Gasolina,6,4287
2012-1,2012 Gasolina,6,4935
2011-1,2011 Gasolina,6,4935
2010-1,2010 Gasolina,6,4935
2009-1,2009 Gasolina,6,4935
2007-1,2007 Gasolina,6,4288
2018-1,2018 Gasolina,6,7717
2017-1,2017 Gasolina,6,7717
2016-1,2016 Gasolina,6,7717
2018-1,2018 Gasolina,6,7894
2017-1,2017 Gasolina,6,7894
2018-1,2018 Gasolina,6,7656
2017-1,2017 Gasolina,6,7656
2016-1,2016 Gasolina,6,7656
