code_modelo,name,code_marcas
4960,118iA 2.0 16V 136cv 5p,7
6147,118iA Full 1.6 TB 16V 170cv 5p,7
5923,118iA/ Urban/Sport 1.6 TB 16V 170cv 5p,7
152,120i 2.0 16V 150cv/ 156cv 5p,7
153,120iA 2.0 16V 150cv/ 156cv 5p,7
4700,120iA 2.0 16V 156cv 3p,7
4683,120iA Cabrio 2.0 16V 156cv 2p,7
7178,120iA Sport 2.0/ActiveFlex 16V Aut.,7
6377,125i M Sport/Active Flex 2.0 TB Aut. 5p,7
3879,130i 3.0 24V 265cv 5p,7
4473,130iA 3.0 24V 265cv 3p,7
4199,130iA 3.0 24V 265cv 5p,7
4961,135iA Coupé 3.0 24V 306cv,7
9036,218i Gran Coupe Sport GP 1.5 Bi-Turbo,7
7448,220i Tourer Active Flex 2.0 TB Aut.,7
7129,225i Active Tourer Sport 2.0 TB Aut.,7
154,316 (todas),7
6660,316i 1.6 TB 16V 136cv 4p,7
155,318i Cabrio 1.8 16V,7
156,318i/iA 1.8 16V,7
157,318i/iA Compact 1.8 16V,7
5607,318iA 2.0 16V 136cv 5p,7
158,318iS/ISA 1.9 16V,7
159,318Ti Compact Mec,7
160,318Ti/TiA Compact 1.9 16V,7
161,320i,7
162,320iA,7
7256,320iA 2.0 TB M Sport A.Flex/M.Sport 4p,7
6090,320iA 2.0 Turbo/ActiveFlex 16V/GP  4p,7
6609,320iA GT Sport 2.0 Turbo 16V 184cv 5p,7
6091,320iA Modern/Sport TB 2.0/A.Flex/GP 4p,7
163,323Ci Coupê,7
164,323CiA Coupê,7
165,323i 2.5 24V,7
166,323i Confort,7
167,323i Sport,7
168,323i Touring,7
172,323i/iA Exclusive,7
169,323iA 2.5 24V,7
170,323iA Confort,7
171,323iA Entry Sedan,7
173,323iA Sport,7
174,323iA Top Sedan,7
175,323iA Touring,7
176,323Ti Compact,7
177,323Ti Compact Sport,7
178,323TiA Compact Top,7
179,325i,7
180,325i/iA Cabrio,7
181,325iA,7
182,325iA 2.5 24V Protection,7
183,325iA Coupé 2.5 24V 2p,7
